"대여일자","사용자코드","성별","연령대코드","신규가입자수"
"2018-07-19","회원-내국인","","70대~","2194"
"2018-07-18","회원-내국인","","70대~","2123"
"2018-07-17","회원-내국인","","70대~","2133"
"2018-07-16","회원-내국인","","70대~","2161"
"2018-07-15","회원-내국인","","70대~","2937"
"2018-07-14","회원-내국인","","70대~","3446"
"2018-07-13","회원-내국인","","70대~","2539"
"2018-07-12","회원-내국인","","70대~","2372"
"2018-07-11","회원-내국인","","70대~","1856"
"2018-07-10","회원-내국인","","70대~","1347"
"2018-07-09","회원-내국인","","70대~","895"
"2018-07-08","회원-내국인","","70대~","5706"
"2018-07-07","회원-내국인","","70대~","5428"
"2018-07-06","회원-내국인","","70대~","3099"
"2018-07-05","회원-내국인","","70대~","2250"
"2018-07-04","회원-내국인","","70대~","2596"
"2018-07-03","회원-내국인","","70대~","2254"
"2018-07-02","회원-내국인","F","70대~","2"
"2018-07-02","회원-내국인","","70대~","528"
"2018-07-01","회원-내국인","","70대~","689"
"2018-06-30","회원-내국인","","70대~","2094"
"2018-06-29","회원-내국인","","70대~","2556"
"2018-06-28","회원-내국인","","70대~","1238"
"2018-06-27","회원-내국인","","70대~","2000"
"2018-06-26","회원-내국인","","70대~","635"
"2018-06-25","회원-내국인","","70대~","2684"
"2018-06-24","회원-내국인","","70대~","4408"
"2018-06-23","회원-내국인","","70대~","4526"
"2018-06-22","회원-내국인","","70대~","3335"
"2018-06-21","회원-내국인","","70대~","2828"
"2018-06-20","회원-내국인","M","~10대","16"
"2018-06-20","회원-내국인","M","60대","6"
"2018-06-20","회원-내국인","M","50대","33"
"2018-06-20","회원-내국인","M","40대","85"
"2018-06-20","회원-내국인","M","30대","121"
"2018-06-20","회원-내국인","M","20대","227"
"2018-06-20","회원-내국인","F","~10대","16"
"2018-06-20","회원-내국인","F","70대~","2"
"2018-06-20","회원-내국인","F","60대","5"
"2018-06-20","회원-내국인","F","50대","23"
"2018-06-20","회원-내국인","F","40대","51"
"2018-06-20","회원-내국인","F","30대","104"
"2018-06-20","회원-내국인","F","20대","247"
"2018-06-20","회원-내국인","","70대~","1131"
"2018-06-19","회원-내국인","M","~10대","47"
"2018-06-19","회원-내국인","M","70대~","2"
"2018-06-19","회원-내국인","M","60대","14"
"2018-06-19","회원-내국인","M","50대","49"
"2018-06-19","회원-내국인","M","40대","122"
"2018-06-19","회원-내국인","M","30대","264"
"2018-06-19","회원-내국인","M","20대","405"
"2018-06-19","회원-내국인","F","~10대","43"
"2018-06-19","회원-내국인","F","70대~","3"
"2018-06-19","회원-내국인","F","60대","7"
"2018-06-19","회원-내국인","F","50대","47"
"2018-06-19","회원-내국인","F","40대","67"
"2018-06-19","회원-내국인","F","30대","176"
"2018-06-19","회원-내국인","F","20대","487"
"2018-06-19","회원-내국인","","70대~","253"
"2018-06-18","회원-내국인","M","~10대","17"
"2018-06-18","회원-내국인","M","70대~","2"
"2018-06-18","회원-내국인","M","60대","5"
"2018-06-18","회원-내국인","M","50대","20"
"2018-06-18","회원-내국인","M","40대","51"
"2018-06-18","회원-내국인","M","30대","95"
"2018-06-18","회원-내국인","M","20대","197"
"2018-06-18","회원-내국인","F","~10대","16"
"2018-06-18","회원-내국인","F","70대~","1"
"2018-06-18","회원-내국인","F","60대","2"
"2018-06-18","회원-내국인","F","50대","15"
"2018-06-18","회원-내국인","F","40대","34"
"2018-06-18","회원-내국인","F","30대","78"
"2018-06-18","회원-내국인","F","20대","223"
"2018-06-18","회원-내국인","","70대~","797"
"2018-06-17","회원-내국인","M","~10대","57"
"2018-06-17","회원-내국인","M","70대~","8"
"2018-06-17","회원-내국인","M","60대","22"
"2018-06-17","회원-내국인","M","50대","76"
"2018-06-17","회원-내국인","M","40대","264"
"2018-06-17","회원-내국인","M","30대","517"
"2018-06-17","회원-내국인","M","20대","846"
"2018-06-17","회원-내국인","F","~10대","73"
"2018-06-17","회원-내국인","F","70대~","6"
"2018-06-17","회원-내국인","F","60대","16"
"2018-06-17","회원-내국인","F","50대","72"
"2018-06-17","회원-내국인","F","40대","184"
"2018-06-17","회원-내국인","F","30대","384"
"2018-06-17","회원-내국인","F","20대","980"
"2018-06-16","회원-내국인","M","~10대","51"
"2018-06-16","회원-내국인","M","70대~","7"
"2018-06-16","회원-내국인","M","60대","37"
"2018-06-16","회원-내국인","M","50대","81"
"2018-06-16","회원-내국인","M","40대","244"
"2018-06-16","회원-내국인","M","30대","525"
"2018-06-16","회원-내국인","M","20대","849"
"2018-06-16","회원-내국인","F","~10대","82"
"2018-06-16","회원-내국인","F","70대~","8"
"2018-06-16","회원-내국인","F","60대","18"
"2018-06-16","회원-내국인","F","50대","76"
"2018-06-16","회원-내국인","F","40대","207"
"2018-06-16","회원-내국인","F","30대","413"
"2018-06-16","회원-내국인","F","20대","1048"
"2018-06-15","회원-내국인","M","~10대","24"
"2018-06-15","회원-내국인","M","70대~","3"
"2018-06-15","회원-내국인","M","60대","16"
"2018-06-15","회원-내국인","M","50대","81"
"2018-06-15","회원-내국인","M","40대","154"
"2018-06-15","회원-내국인","M","30대","288"
"2018-06-15","회원-내국인","M","20대","444"
"2018-06-15","회원-내국인","F","~10대","49"
"2018-06-15","회원-내국인","F","70대~","4"
"2018-06-15","회원-내국인","F","60대","7"
"2018-06-15","회원-내국인","F","50대","45"
"2018-06-15","회원-내국인","F","40대","89"
"2018-06-15","회원-내국인","F","30대","191"
"2018-06-15","회원-내국인","F","20대","532"
"2018-06-15","회원-내국인","","70대~","114"
"2018-06-14","회원-내국인","M","~10대","22"
"2018-06-14","회원-내국인","M","60대","13"
